Comment,Designator,Footprint,LCSC,Quantity
4.7K,"R12,R16,R20,R24,R25,R26,R27,R28,R29,R30,R4,R8",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,C17673,12
470,"R10,R11,R14,R15,R18,R19,R2,R22,R23,R3,R6,R7",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,C17710,12
DF04MA,"D1,D11,D3,D5,D7,D9",Diode_Bridge_DIP-4_W7.62mm_P5.08mm,C193012,6
KT-0603R,"LED2,LED3,LED4,LED5,LED6",LED_D3.0mm,C2297,5
From Loop,"J1,J10,J11,J12,J2,J3,J4,J5,J6,J7,J8,J9",TerminalBlock_5mm_labeled,C2997275,12
47R 1W,"R1,R13,R17,R21,R5,R9",R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal,C341654,6
1.5KE180CAHE3_B/C,"D13,D15,D16,D17,D18,D2",D_A-405_P10.16mm_Horizontal,C519810,6
6N139M,U3,DIP-8_W10.16mm,,1
THRU,SW1,SW_DIP_SPSTx01_Slide_6.7x4.1mm_W7.62mm_P2.54mm_LowProfile,,1
THRU,SW4,SW_DIP_SPSTx01_Slide_6.7x4.1mm_W7.62mm_P2.54mm_LowProfile,,1
6N139M,U9,DIP-8_W10.16mm,,1
6N139M,U7,DIP-8_W10.16mm,,1
AQY210EH,U8,DIP-4_W7.62mm,,1
6N139M,U5,DIP-8_W10.16mm,,1
AQY210EH,U4,DIP-4_W7.62mm,,1
THRU,SW2,SW_DIP_SPSTx01_Slide_6.7x4.1mm_W7.62mm_P2.54mm_LowProfile,,1
AQY210EH,U6,DIP-4_W7.62mm,,1
AQY210EH,U10,DIP-4_W7.62mm,,1
6N139M,U1,DIP-8_W10.16mm,,1
THRU,SW3,SW_DIP_SPSTx01_Slide_6.7x4.1mm_W7.62mm_P2.54mm_LowProfile,,1
THRU,SW5,SW_DIP_SPSTx01_Slide_6.7x4.1mm_W7.62mm_P2.54mm_LowProfile,,1
AQY210EH,U12,DIP-4_W7.62mm,,1
THRU,SW6,SW_DIP_SPSTx01_Slide_6.7x4.1mm_W7.62mm_P2.54mm_LowProfile,,1
KT-0603R,LED1,LED_D3.0mm,,1
6N139M,U11,DIP-8_W10.16mm,,1
AQY210EH,U2,DIP-4_W7.62mm,,1
RaspberryPi_Pico,A1,RaspberryPi_Pico_Common,,1
