Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,MB10FH5G0NP,MBF_L4.8-W3.9-P2.50-LS6.7-TR,197.98,-75.0,90.0,top
D10,H5VL10B,SOD-882_L1.0-W0.6-BI,113.27,-130.85,0.0,top
D11,MB10FH5G0NP,MBF_L4.8-W3.9-P2.50-LS6.7-TR,131.845,-125.85,-90.0,top
D12,H5VL10B,SOD-882_L1.0-W0.6-BI,144.095,-130.85,0.0,top
D2,H5VL10B,SOD-882_L1.0-W0.6-BI,185.73,-70.0,180.0,top
D3,MB10FH5G0NP,MBF_L4.8-W3.9-P2.50-LS6.7-TR,167.0,-75.02,90.0,top
D4,H5VL10B,SOD-882_L1.0-W0.6-BI,154.75,-70.02,180.0,top
D5,MB10FH5G0NP,MBF_L4.8-W3.9-P2.50-LS6.7-TR,138.5,-75.0,90.0,top
D6,H5VL10B,SOD-882_L1.0-W0.6-BI,126.25,-70.0,180.0,top
D7,MB10FH5G0NP,MBF_L4.8-W3.9-P2.50-LS6.7-TR,107.9625,-74.7125,90.0,top
D8,H5VL10B,SOD-882_L1.0-W0.6-BI,95.7125,-69.7125,180.0,top
D9,MB10FH5G0NP,MBF_L4.8-W3.9-P2.50-LS6.7-TR,101.02,-125.85,-90.0,top
J1,From Loop,TerminalBlock_RND_205-00045_1x02_P5.00mm_Horizontal,202.23,-64.5,0.0,top
J10,To Loop,TerminalBlock_RND_205-00045_1x02_P5.00mm_Horizontal,113.27,-136.35,180.0,top
J11,From Loop,TerminalBlock_RND_205-00045_1x02_P5.00mm_Horizontal,127.595,-136.35,180.0,top
J12,To Loop,TerminalBlock_RND_205-00045_1x02_P5.00mm_Horizontal,144.095,-136.35,180.0,top
J2,To Loop,TerminalBlock_RND_205-00045_1x02_P5.00mm_Horizontal,185.73,-64.5,0.0,top
J3,From Loop,TerminalBlock_RND_205-00045_1x02_P5.00mm_Horizontal,171.25,-64.52,0.0,top
J4,To Loop,TerminalBlock_RND_205-00045_1x02_P5.00mm_Horizontal,154.75,-64.52,0.0,top
J5,From Loop,TerminalBlock_RND_205-00045_1x02_P5.00mm_Horizontal,142.75,-64.5,0.0,top
J6,To Loop,TerminalBlock_RND_205-00045_1x02_P5.00mm_Horizontal,126.25,-64.5,0.0,top
J7,From Loop,TerminalBlock_RND_205-00045_1x02_P5.00mm_Horizontal,112.2125,-64.2125,0.0,top
J8,To Loop,TerminalBlock_RND_205-00045_1x02_P5.00mm_Horizontal,95.7125,-64.2125,0.0,top
J9,From Loop,TerminalBlock_RND_205-00045_1x02_P5.00mm_Horizontal,96.77,-136.35,180.0,top
LED1,KT-0603R,LED0603-RD,179.25,-81.67,-90.0,top
LED2,KT-0603R,LED0603-RD,177.5,-81.67,-90.0,top
LED3,KT-0603R,LED0603-RD,120.25,-81.8,-90.0,top
LED4,KT-0603R,LED0603-RD,118.5,-81.8,-90.0,top
LED5,KT-0603R,LED0603-RD,119.5,-118.5,90.0,top
LED6,KT-0603R,LED0603-RD,121.25,-118.5,90.0,top
